id,Email,Subject,Mail_data
richa,abhishek.gupta@daffodilsw.com,"2014_test-section2 - Section 1.10.33 of ""de Finibus Bonorum et Malorum"", written by Cicero in 45 BC","<div style ='color:#1F497D'><b>AssignMent Reminder!</b><br /><br />2014_test-section2<br /><br /><br />Your assignment, <b>Section 1.10.33 of ""de Finibus Bonorum et Malorum"", written by Cicero in 45 BC</b>,  is due on <b>March 26, 2014</b>.<br /></div>"
chris,abhishek.gupta@daffodilsw.com,"2014_test-section2 - chapter3","<div style ='color:#1F497D'><b>AssignMent Reminder!</b><br /><br />2014_test-section2<br /><br /><br />Your assignment, <b>chapter3</b>,  is due on <b>April 02, 2014</b>.<br /></div>"
priya,munek.kumar@daffodilsw.com,"2014_test-section2 - chapter3","<div style ='color:#1F497D'><b>AssignMent Reminder!</b><br /><br />2014_test-section2<br /><br /><br />Your assignment, <b>chapter3</b>,  is due on <b>April 02, 2014</b>.<br /></div>"
richa,abhishek.gupta@daffodilsw.com,"2014_test-section2 - chapter3","<div style ='color:#1F497D'><b>AssignMent Reminder!</b><br /><br />2014_test-section2<br /><br /><br />Your assignment, <b>chapter3</b>,  is due on <b>April 02, 2014</b>.<br /></div>"
chris,abhishek.gupta@daffodilsw.com,"2014_test-section2 - chapter4","<div style ='color:#1F497D'><b>AssignMent Reminder!</b><br /><br />2014_test-section2<br /><br /><br />Your assignment, <b>chapter4</b>,  is due on <b>April 29, 2014</b>.<br /></div>"
priya,munek.kumar@daffodilsw.com,"2014_test-section2 - chapter4","<div style ='color:#1F497D'><b>AssignMent Reminder!</b><br /><br />2014_test-section2<br /><br /><br />Your assignment, <b>chapter4</b>,  is due on <b>April 29, 2014</b>.<br /></div>"
richa,abhishek.gupta@daffodilsw.com,"2014_test-section2 - chapter4","<div style ='color:#1F497D'><b>AssignMent Reminder!</b><br /><br />2014_test-section2<br /><br /><br />Your assignment, <b>chapter4</b>,  is due on <b>April 29, 2014</b>.<br /></div>"
chris,abhishek.gupta@daffodilsw.com,"2014_test-section2 - chapter6","<div style ='color:#1F497D'><b>AssignMent Reminder!</b><br /><br />2014_test-section2<br /><br /><br />Your assignment, <b>chapter6</b>,  is due on <b>April 21, 2014</b>.<br /></div>"
priya,munek.kumar@daffodilsw.com,"2014_test-section2 - chapter6","<div style ='color:#1F497D'><b>AssignMent Reminder!</b><br /><br />2014_test-section2<br /><br /><br />Your assignment, <b>chapter6</b>,  is due on <b>April 21, 2014</b>.<br /></div>"
richa,abhishek.gupta@daffodilsw.com,"2014_test-section2 - chapter6","<div style ='color:#1F497D'><b>AssignMent Reminder!</b><br /><br />2014_test-section2<br /><br /><br />Your assignment, <b>chapter6</b>,  is due on <b>April 21, 2014</b>.<br /></div>"
